,RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE,weight
4219,FG ROSSI MATERIAIS ELETRICOS E HIDRAULICOS LTDA,10764193000100,"RUA APEDIA  29 , SAO PAULO",-23.4520797,-46.7365341,SAO PAULO,2
4220,JAIRO MIRANDA SIQUEIRA,10765034000120,"RODOVIA RENE BENEDITO SILVA  2026 , ITAPEVI",-23.544065,-46.9553201,ITAPEVI,4
4221,CENTRAL MIX MATERIAIS PARA CONSTRUCOES EIRELI,10765724000180,"RUA CARIJOS  1461 , SANTO ANDRE",-23.6832898,-46.5218467,SANTO ANDRE,3
4222,CONSTRUCENTER CARDEAL MATERIAIS DE CONSTRUCAO EIRELI,10768636000131,"RUA CARDEAL ARCOVERDE  806 , SAO PAULO",-23.556779,-46.6805722,SAO PAULO,1
4223,AGUIAR & GAMA COMERCIO DE MATERIAL RECICLADO E LOCACAO DE MAQUINAS E EQUIPAMENTOS LTDA,10773054000143,"RUA FREI PAULO DE SOROCABA  178 , SAO PAULO",-23.551303,-46.75571,SAO PAULO,2
4224,G R MATERIAIS PARA CONSTRUCAO LTDA,10773148000201,"AVENIDA ITALO ADAMI  1556 , ITAQUAQUECETUBA",-23.4936417,-46.348689,ITAQUAQUECETUBA,4
4225,VICTOR SANTINELLO CAPONE,10775624000134,"ALAMEDA AFONSO SCHMIDT  695 , SAO PAULO",-23.4949737,-46.6352799,SAO PAULO,1
4226,ANA LIGIA MONESI ROCHA DA SILVA,10776063000198,"RUA MOLITERNO  109 , SAO PAULO",-23.527981,-46.5392256,SAO PAULO,2
4227,EDINALDO ARAUJO PEREIRA,10778828000129,"RUA BENEDITA PEREIRA FRANCO  655 , MOGI DAS CRUZES",-23.5482726,-46.2613136,MOGI DAS CRUZES,4
4228,PONTO 42 METAIS E FERRAGENS LTDA,10779704000168,"RUA PAES LEME  42 , SAO PAULO",-23.5675594,-46.696752,SAO PAULO,1
4229,GARDY COMERCIO E MONTAGEM DE EQUIPAMENTOS ELETRICOS LTDA,10780890000155,"RUA AMADOR BUENO  1261 , OSASCO",-23.5163074,-46.799924,OSASCO,3
4230,AN PARAFUSOS LTDA,10781464000136,"AVENIDA DOM PEDRO I  1154 , DIADEMA",-23.6939495,-46.6101204,DIADEMA,3
4231,ELETRICA UNIAO MATERIAIS ELETRICOS E HIDRAULICOS LTDA,10782228000134,"RUA GENERAL RONDON  115 , DIADEMA",-23.6930414,-46.6220654,DIADEMA,3
4232,MONICA SIMONE DE FARIA MATERIAIS GRAFICOS,10789078000190,"RUA JOAO DE LOAJA  61 , SAO PAULO",-23.4889508,-46.6823296,SAO PAULO,2
4233,FLO & CABRAL  ARTIGOS PARA PISCINAS LTDA,10792572000104,"ESTRADA MUNICIP FERNANDO NOBRE  1430 , JANDIRA",-23.556706,-46.883937,JANDIRA,4
4234,"RAFAEL SANTOS SILVEIRA  CABOS, CONECTORES E MONTAGENS",10797130000150,"RUA AURORA  2702 , SAO PAULO",-23.5406427,-46.6412958,SAO PAULO,1
4235,J S N  COMERCIO DE FERRAGENS LTDA,10797764000103,"RUA VICTORIA PENA GIORGI  227 , SANTO ANDRE",-23.6685955,-46.494089,SANTO ANDRE,3
4236,MAIS QUE PISOS DECORACOES LTDA,10798863000100,"AVENIDA NAZARE  604 , SAO PAULO",-23.589238,-46.6108409,SAO PAULO,1
4237,MAIS QUE PISOS DECORACOES LTDA,10798863000100,"AVENIDA NAZARE  604 , SAO PAULO",-23.589238,-46.6108409,SAO PAULO,1
4238,CILA LUDOVICO MATERIAIS PARA CONSTRUCAO,10801813000134,"RUA ESPIRITO SANTO  296 , SANTO ANDRE",-23.6756052,-46.4865206,SANTO ANDRE,4
4239,MITIKASU ELETRICA E FERRAGENS LTDA,10803319000109,"AVENIDA MATEO BEI  2629 , SAO PAULO",-23.604385,-46.4808398,SAO PAULO,3
4240,COLO FICO COMERCIAL E REPRESENTACAO EIRELI,10803796000174,"RUA GALILEIA  212 , SAO PAULO",-23.5027508,-46.6553651,SAO PAULO,1
4241,MARCELO E MARCIO COMERCIO E AFIACAO DE FERRAMENTAS LTDA,10808914000137,"AVENIDA RANGEL PESTANA  207 , SANTO ANDRE",-23.6839808,-46.5277741,SANTO ANDRE,3
4242,WAGNER N ALVES ESQUADRIAS EM ALUMINIO,10812534000176,"RUA FILIPE CAMARAO  35 , SAO PAULO",-23.5352677,-46.5790141,SAO PAULO,1
4243,FERRO FLEX COMERCIO DE FERRO E ACO LTDA,10814553000131,"RUA MAJOR BASILIO  441 , SAO PAULO",-23.55785,-46.5820497,SAO PAULO,1
4244,PLD FERRAMENTARIA INDUSTRIA E COMERCIO EIRELI,10817433000198,"RUA JUSTINO CARDOSO DA SILVEIRA  78 , MAUA",-23.68842,-46.451992,MAUA,4
4245,IBM COMERCIO DE BOMBAS E MOTORES LTDA,10818176000109,"RUA MANILHA  189 , SAO PAULO",-23.5496115,-46.5271876,SAO PAULO,2
